COD_COMUNA_JOIN,COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS,POBLACION_OBJETIVO,PORC_COBERTURA
13122,13122,Peñalolén,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1936,2002.0,96.7
13122,13122,Peñalolén,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1776,1789.0,99.3
13122,13122,Peñalolén,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1814,1843.0,98.4
13122,13122,Peñalolén,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,349,2071.0,16.9
13122,13122,Peñalolén,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1768,1789.0,98.8
13122,13122,Peñalolén,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1810,1843.0,98.2
13122,13122,Peñalolén,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,2010,2002.0,100.4
13122,13122,Peñalolén,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1029,2520.0,40.8
13122,13122,Peñalolén,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,2024,2002.0,101.1
13122,13122,Peñalolén,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1710,1940.0,88.1
13122,13122,Peñalolén,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,2118,2071.0,102.3
13122,13122,Peñalolén,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1755,1940.0,90.5
13122,13110,La Florida,VACUNA VPH 4 BASICO,VPH_4basico,5,2813.0,0.2
13122,13114,Las Condes,VACUNA VPH 4 BASICO,VPH_4basico,1,2813.0,0.0
13122,13120,Ñuñoa,VACUNA VPH 4 BASICO,VPH_4basico,2,2813.0,0.1
13122,13122,Peñalolén,VACUNA VPH 4 BASICO,VPH_4basico,2575,2813.0,91.5
13122,13110,La Florida,VACUNA VPH 5 BASICO,VPH_5basico,8,2706.0,0.3
13122,13113,La Reina,VACUNA VPH 5 BASICO,VPH_5basico,1,2706.0,0.0
13122,13122,Peñalolén,VACUNA VPH 5 BASICO,VPH_5basico,2122,2706.0,78.4
13122,13605,Peñaflor,VACUNA VPH 5 BASICO,VPH_5basico,2,2706.0,0.1
13123,13123,Providencia,VACUNA BCG,BCG_RN,1234,1222.0,101.0
13123,13101,Santiago,VACUNA DTPA 1 BASICO,dTpa_1basico,12,1612.0,0.7
13123,13102,Cerrillos,VACUNA DTPA 1 BASICO,dTpa_1basico,2,1612.0,0.1
13123,13103,Cerro Navia,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13104,Conchalí,VACUNA DTPA 1 BASICO,dTpa_1basico,3,1612.0,0.2
13123,13105,El Bosque,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13106,Estación Central,VACUNA DTPA 1 BASICO,dTpa_1basico,2,1612.0,0.1
13123,13107,Huechuraba,VACUNA DTPA 1 BASICO,dTpa_1basico,5,1612.0,0.3
13123,13108,Independencia,VACUNA DTPA 1 BASICO,dTpa_1basico,2,1612.0,0.1
13123,13109,La Cisterna,VACUNA DTPA 1 BASICO,dTpa_1basico,3,1612.0,0.2
13123,13110,La Florida,VACUNA DTPA 1 BASICO,dTpa_1basico,8,1612.0,0.5
13123,13112,La Pintana,VACUNA DTPA 1 BASICO,dTpa_1basico,1,1612.0,0.1
13123,13113,La Reina,VACUNA DTPA 1 BASICO,dTpa_1basico,6,1612.0,0.4
13123,13114,Las Condes,VACUNA DTPA 1 BASICO,dTpa_1basico,10,1612.0,0.6
13123,13118,Macul,VACUNA DTPA 1 BASICO,dTpa_1basico,6,1612.0,0.4
13123,13119,Maipú,VACUNA DTPA 1 BASICO,dTpa_1basico,6,1612.0,0.4
13123,13120,Ñuñoa,VACUNA DTPA 1 BASICO,dTpa_1basico,26,1612.0,1.6
13123,13123,Providencia,VACUNA DTPA 1 BASICO,dTpa_1basico,1446,1612.0,89.7
13123,13124,Pudahuel,VACUNA DTPA 1 BASICO,dTpa_1basico,5,1612.0,0.3
13123,13125,Quilicura,VACUNA DTPA 1 BASICO,dTpa_1basico,7,1612.0,0.4
