COD_COMUNA_JOIN,COMUNA_CALCULO,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS,POBLACION_OBJETIVO,PORC_COBERTURA
13101,Santiago,VACUNA BCG,BCG_RN,3789,3963.0,95.6
13101,Santiago,VACUNA DTPA 1 BASICO,dTpa_1basico,3850,3932.0,97.9
13101,Santiago,VACUNA DTPA 8 BASICO,dTpa_8basico,4887,5327.0,91.7
13101,Santiago,VACUNA DTPA GESTANTES,dTpa_Gestantes,3109,4591.0,67.7
13101,Santiago,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,3427,4489.0,76.3
13101,Santiago,VACUNA HEPATITIS B RN,HepB_RN,3815,3963.0,96.3
13101,Santiago,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,3773,4002.0,94.3
13101,Santiago,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,3601,4028.0,89.4
13101,Santiago,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3549,4046.0,87.7
13101,Santiago,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,3512,4489.0,78.2
13101,Santiago,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,3676,4085.0,90.0
13101,Santiago,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,3868,4002.0,96.7
13101,Santiago,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,3665,4028.0,91.0
13101,Santiago,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,621,4489.0,13.8
13101,Santiago,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,3780,4002.0,94.5
13101,Santiago,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,3621,4028.0,89.9
13101,Santiago,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,3598,4085.0,88.1
13101,Santiago,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1861,3449.0,54.0
13101,Santiago,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,3638,4085.0,89.1
13101,Santiago,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,2690,4385.0,61.3
13101,Santiago,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,3514,4489.0,78.3
13101,Santiago,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,2794,4385.0,63.7
13101,Santiago,VACUNA VPH 4 BASICO,VPH_4basico,4262,4421.0,96.4
13101,Santiago,VACUNA VPH 5 BASICO,VPH_5basico,4248,4432.0,95.8
13102,Cerrillos,VACUNA BCG,BCG_RN,569,722.0,78.8
13102,Cerrillos,VACUNA DTPA 1 BASICO,dTpa_1basico,797,958.0,83.2
13102,Cerrillos,VACUNA DTPA 8 BASICO,dTpa_8basico,796,979.0,81.3
13102,Cerrillos,VACUNA DTPA GESTANTES,dTpa_Gestantes,565,776.0,72.8
13102,Cerrillos,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,780,825.0,94.5
13102,Cerrillos,VACUNA HEPATITIS B RN,HepB_RN,590,722.0,81.7
13102,Cerrillos,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,707,744.0,95.0
13102,Cerrillos,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,707,767.0,92.2
13102,Cerrillos,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,699,758.0,92.2
13102,Cerrillos,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,785,825.0,95.2
13102,Cerrillos,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,735,794.0,92.6
13102,Cerrillos,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,713,744.0,95.8
13102,Cerrillos,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,710,767.0,92.6
13102,Cerrillos,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,140,825.0,17.0
13102,Cerrillos,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,708,744.0,95.2
13102,Cerrillos,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,707,767.0,92.2
13102,Cerrillos,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,734,794.0,92.4
13102,Cerrillos,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,432,853.0,50.6
13102,Cerrillos,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,737,794.0,92.8
13102,Cerrillos,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,658,741.0,88.8
13102,Cerrillos,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,785,825.0,95.2
13102,Cerrillos,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,664,741.0,89.6
13102,Cerrillos,VACUNA VPH 4 BASICO,VPH_4basico,844,972.0,86.8
13102,Cerrillos,VACUNA VPH 5 BASICO,VPH_5basico,835,1027.0,81.3
13103,Cerro Navia,VACUNA BCG,BCG_RN,1039,1161.0,89.5
13103,Cerro Navia,VACUNA DTPA 1 BASICO,dTpa_1basico,1211,1326.0,91.3
13103,Cerro Navia,VACUNA DTPA 8 BASICO,dTpa_8basico,1201,1357.0,88.5
13103,Cerro Navia,VACUNA DTPA GESTANTES,dTpa_Gestantes,928,1479.0,62.7
13103,Cerro Navia,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1230,1498.0,82.1
13103,Cerro Navia,VACUNA HEPATITIS B RN,HepB_RN,1040,1161.0,89.6
13103,Cerro Navia,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1134,1188.0,95.5
13103,Cerro Navia,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1127,1231.0,91.6
13103,Cerro Navia,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1137,1278.0,89.0
13103,Cerro Navia,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1202,1498.0,80.2
13103,Cerro Navia,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1148,1356.0,84.7
13103,Cerro Navia,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1148,1188.0,96.6
13103,Cerro Navia,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1135,1231.0,92.2
13103,Cerro Navia,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,175,1498.0,11.7
13103,Cerro Navia,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1137,1188.0,95.7
13103,Cerro Navia,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1128,1231.0,91.6
13103,Cerro Navia,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1177,1356.0,86.8
13103,Cerro Navia,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,656,1383.0,47.4
13103,Cerro Navia,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1187,1356.0,87.5
13103,Cerro Navia,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1003,1413.0,71.0
13103,Cerro Navia,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1227,1498.0,81.9
13103,Cerro Navia,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,993,1413.0,70.3
13103,Cerro Navia,VACUNA VPH 4 BASICO,VPH_4basico,1280,1412.0,90.7
13103,Cerro Navia,VACUNA VPH 5 BASICO,VPH_5basico,1203,1345.0,89.4
13104,Conchalí,VACUNA BCG,BCG_RN,787,906.0,86.9
13104,Conchalí,VACUNA DTPA 1 BASICO,dTpa_1basico,1303,1496.0,87.1
13104,Conchalí,VACUNA DTPA 8 BASICO,dTpa_8basico,1347,1578.0,85.4
13104,Conchalí,VACUNA DTPA GESTANTES,dTpa_Gestantes,779,1183.0,65.8
13104,Conchalí,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1045,1149.0,90.9
13104,Conchalí,VACUNA HEPATITIS B RN,HepB_RN,798,906.0,88.1
13104,Conchalí,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,883,913.0,96.7
13104,Conchalí,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,929,943.0,98.5
13104,Conchalí,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,904,965.0,93.7
13104,Conchalí,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1059,1149.0,92.2
13104,Conchalí,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,992,1077.0,92.1
13104,Conchalí,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,896,913.0,98.1
13104,Conchalí,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,927,943.0,98.3
13104,Conchalí,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,154,1149.0,13.4
13104,Conchalí,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,884,913.0,96.8
13104,Conchalí,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,927,943.0,98.3
13104,Conchalí,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1023,1077.0,95.0
13104,Conchalí,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,683,1323.0,51.6
13104,Conchalí,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1030,1077.0,95.6
13104,Conchalí,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,831,1130.0,73.5
13104,Conchalí,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1055,1149.0,91.8
13104,Conchalí,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,843,1130.0,74.6
13104,Conchalí,VACUNA VPH 4 BASICO,VPH_4basico,1494,1720.0,86.9
13104,Conchalí,VACUNA VPH 5 BASICO,VPH_5basico,1477,1743.0,84.7
13105,El Bosque,VACUNA BCG,BCG_RN,1029,1124.0,91.5
13105,El Bosque,VACUNA DTPA 1 BASICO,dTpa_1basico,1999,2366.0,84.5
13105,El Bosque,VACUNA DTPA 8 BASICO,dTpa_8basico,1984,2566.0,77.3
13105,El Bosque,VACUNA DTPA GESTANTES,dTpa_Gestantes,1133,1501.0,75.5
13105,El Bosque,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1584,1450.0,109.2
13105,El Bosque,VACUNA HEPATITIS B RN,HepB_RN,1059,1124.0,94.2
13105,El Bosque,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1279,1153.0,110.9
13105,El Bosque,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1294,1175.0,110.1
13105,El Bosque,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1357,1245.0,109.0
13105,El Bosque,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1577,1450.0,108.8
13105,El Bosque,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1455,1341.0,108.5
13105,El Bosque,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1296,1153.0,112.4
