COD_COMUNA_JOIN,COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13402,13402,Buin,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1315
13402,13402,Buin,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1321
13402,13402,Buin,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1259
13402,13402,Buin,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1261
13402,13402,Buin,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1320
13402,13402,Buin,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,214
13402,13402,Buin,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1255
13402,13402,Buin,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1320
13402,13402,Buin,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1291
13402,13402,Buin,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,696
13402,13402,Buin,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1305
13402,13402,Buin,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1162
13402,13402,Buin,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1328
13402,13402,Buin,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1164
13402,13402,Buin,VACUNA VPH 4 BASICO,VPH_4basico,1446
13402,13402,Buin,VACUNA VPH 5 BASICO,VPH_5basico,1183
13403,13403,Calera De Tango,VACUNA BCG,BCG_RN,176
13403,13110,La Florida,VACUNA DTPA 1 BASICO,dTpa_1basico,1
13403,13112,La Pintana,VACUNA DTPA 1 BASICO,dTpa_1basico,1
13403,13130,San Miguel,VACUNA DTPA 1 BASICO,dTpa_1basico,2
13403,13401,San Bernardo,VACUNA DTPA 1 BASICO,dTpa_1basico,19
13403,13402,Buin,VACUNA DTPA 1 BASICO,dTpa_1basico,7
13403,13403,Calera De Tango,VACUNA DTPA 1 BASICO,dTpa_1basico,284
13403,13404,Paine,VACUNA DTPA 1 BASICO,dTpa_1basico,2
13403,13601,Talagante,VACUNA DTPA 1 BASICO,dTpa_1basico,4
13403,13602,El Monte,VACUNA DTPA 1 BASICO,dTpa_1basico,1
13403,13603,Isla De Maipo,VACUNA DTPA 1 BASICO,dTpa_1basico,3
13403,13604,Padre Hurtado,VACUNA DTPA 1 BASICO,dTpa_1basico,4
13403,13605,Peñaflor,VACUNA DTPA 1 BASICO,dTpa_1basico,7
13403,13105,El Bosque,VACUNA DTPA 8 BASICO,dTpa_8basico,1
13403,13119,Maipú,VACUNA DTPA 8 BASICO,dTpa_8basico,4
13403,13401,San Bernardo,VACUNA DTPA 8 BASICO,dTpa_8basico,29
13403,13402,Buin,VACUNA DTPA 8 BASICO,dTpa_8basico,7
13403,13403,Calera De Tango,VACUNA DTPA 8 BASICO,dTpa_8basico,316
13403,13404,Paine,VACUNA DTPA 8 BASICO,dTpa_8basico,4
13403,13601,Talagante,VACUNA DTPA 8 BASICO,dTpa_8basico,12
13403,13604,Padre Hurtado,VACUNA DTPA 8 BASICO,dTpa_8basico,4
13403,13605,Peñaflor,VACUNA DTPA 8 BASICO,dTpa_8basico,9
13403,13403,Calera De Tango,VACUNA DTPA GESTANTES,dTpa_Gestantes,186
13403,13403,Calera De Tango,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,241
13403,13403,Calera De Tango,VACUNA HEPATITIS B RN,HepB_RN,196
13403,13403,Calera De Tango,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,210
13403,13403,Calera De Tango,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,197
13403,13403,Calera De Tango,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,197
13403,13403,Calera De Tango,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,244
13403,13403,Calera De Tango,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,209
13403,13403,Calera De Tango,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,211
13403,13403,Calera De Tango,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,196
13403,13403,Calera De Tango,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,44
13403,13403,Calera De Tango,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,211
13403,13403,Calera De Tango,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,197
13403,13403,Calera De Tango,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,210
13403,13403,Calera De Tango,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,191
13403,13403,Calera De Tango,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,210
13403,13403,Calera De Tango,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,218
13403,13403,Calera De Tango,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,245
13403,13403,Calera De Tango,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,223
13403,13101,Santiago,VACUNA VPH 4 BASICO,VPH_4basico,2
13403,13105,El Bosque,VACUNA VPH 4 BASICO,VPH_4basico,1
13403,13119,Maipú,VACUNA VPH 4 BASICO,VPH_4basico,4
13403,13202,Pirque,VACUNA VPH 4 BASICO,VPH_4basico,1
13403,13401,San Bernardo,VACUNA VPH 4 BASICO,VPH_4basico,17
13403,13402,Buin,VACUNA VPH 4 BASICO,VPH_4basico,5
13403,13403,Calera De Tango,VACUNA VPH 4 BASICO,VPH_4basico,320
13403,13404,Paine,VACUNA VPH 4 BASICO,VPH_4basico,3
13403,13601,Talagante,VACUNA VPH 4 BASICO,VPH_4basico,6
13403,13603,Isla De Maipo,VACUNA VPH 4 BASICO,VPH_4basico,1
13403,13604,Padre Hurtado,VACUNA VPH 4 BASICO,VPH_4basico,9
13403,13605,Peñaflor,VACUNA VPH 4 BASICO,VPH_4basico,3
13403,13119,Maipú,VACUNA VPH 5 BASICO,VPH_5basico,1
13403,13401,San Bernardo,VACUNA VPH 5 BASICO,VPH_5basico,18
13403,13402,Buin,VACUNA VPH 5 BASICO,VPH_5basico,3
13403,13403,Calera De Tango,VACUNA VPH 5 BASICO,VPH_5basico,294
13403,13601,Talagante,VACUNA VPH 5 BASICO,VPH_5basico,14
13403,13602,El Monte,VACUNA VPH 5 BASICO,VPH_5basico,1
13403,13604,Padre Hurtado,VACUNA VPH 5 BASICO,VPH_5basico,7
13403,13605,Peñaflor,VACUNA VPH 5 BASICO,VPH_5basico,7
13404,13404,Paine,VACUNA BCG,BCG_RN,659
13404,13404,Paine,VACUNA DTPA 1 BASICO,dTpa_1basico,1084
13404,13402,Buin,VACUNA DTPA 8 BASICO,dTpa_8basico,19
13404,13404,Paine,VACUNA DTPA 8 BASICO,dTpa_8basico,1143
13404,13404,Paine,VACUNA DTPA GESTANTES,dTpa_Gestantes,704
13404,13404,Paine,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,856
13404,13404,Paine,VACUNA HEPATITIS B RN,HepB_RN,652
13404,13404,Paine,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,716
13404,13404,Paine,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,733
13404,13404,Paine,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,753
13404,13404,Paine,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,840
13404,13404,Paine,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,802
13404,13404,Paine,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,743
13404,13404,Paine,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,741
13404,13404,Paine,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,136
13404,13404,Paine,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,718
13404,13404,Paine,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,730
13404,13404,Paine,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,804
13404,13404,Paine,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,626
13404,13404,Paine,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,813
13404,13404,Paine,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,729
13404,13404,Paine,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,856
13404,13404,Paine,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,731
13404,13105,El Bosque,VACUNA VPH 4 BASICO,VPH_4basico,1
13404,13402,Buin,VACUNA VPH 4 BASICO,VPH_4basico,8
13404,13404,Paine,VACUNA VPH 4 BASICO,VPH_4basico,1140
13404,13401,San Bernardo,VACUNA VPH 5 BASICO,VPH_5basico,1
13404,13402,Buin,VACUNA VPH 5 BASICO,VPH_5basico,13
13404,13404,Paine,VACUNA VPH 5 BASICO,VPH_5basico,931
13501,13501,Melipilla,VACUNA BCG,BCG_RN,1446
13501,13501,Melipilla,VACUNA DTPA 1 BASICO,dTpa_1basico,1577
13501,13501,Melipilla,VACUNA DTPA 8 BASICO,dTpa_8basico,1594
13501,13501,Melipilla,VACUNA DTPA GESTANTES,dTpa_Gestantes,1210
13501,13501,Melipilla,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1514
13501,13501,Melipilla,VACUNA HEPATITIS B RN,HepB_RN,1430
13501,13501,Melipilla,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1381
13501,13501,Melipilla,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1412
13501,13501,Melipilla,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1389
13501,13501,Melipilla,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1491
13501,13501,Melipilla,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1472
13501,13501,Melipilla,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1436
13501,13501,Melipilla,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1432
13501,13501,Melipilla,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,200
13501,13501,Melipilla,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1382
13501,13501,Melipilla,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1411
13501,13501,Melipilla,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1459
13501,13501,Melipilla,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,726
13501,13501,Melipilla,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1469
13501,13501,Melipilla,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1209
13501,13501,Melipilla,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1541
13501,13501,Melipilla,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1242
13501,13501,Melipilla,VACUNA VPH 4 BASICO,VPH_4basico,1775
13501,13501,Melipilla,VACUNA VPH 5 BASICO,VPH_5basico,1199
13502,13502,Alhué,VACUNA BCG,BCG_RN,74
13502,13502,Alhué,VACUNA DTPA 1 BASICO,dTpa_1basico,111
13502,13502,Alhué,VACUNA DTPA 8 BASICO,dTpa_8basico,103
13502,13502,Alhué,VACUNA DTPA GESTANTES,dTpa_Gestantes,77
13502,13502,Alhué,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,120
13502,13502,Alhué,VACUNA HEPATITIS B RN,HepB_RN,75
13502,13502,Alhué,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,90
13502,13502,Alhué,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,89
13502,13502,Alhué,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,105
13502,13502,Alhué,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,120
13502,13502,Alhué,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,118
13502,13502,Alhué,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,95
13502,13502,Alhué,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,94
13502,13502,Alhué,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,21
13502,13502,Alhué,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,90
13502,13502,Alhué,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,89
13502,13502,Alhué,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,117
13502,13502,Alhué,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,77
13502,13502,Alhué,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,116
13502,13502,Alhué,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,109
13502,13502,Alhué,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,120
13502,13502,Alhué,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,106
13502,13502,Alhué,VACUNA VPH 4 BASICO,VPH_4basico,123
13502,13502,Alhué,VACUNA VPH 5 BASICO,VPH_5basico,103
13503,13503,Curacavi,VACUNA BCG,BCG_RN,276
13503,13503,Curacavi,VACUNA DTPA 1 BASICO,dTpa_1basico,427
13503,13503,Curacavi,VACUNA DTPA 8 BASICO,dTpa_8basico,499
13503,13503,Curacavi,VACUNA DTPA GESTANTES,dTpa_Gestantes,226
13503,13503,Curacavi,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,318
13503,13503,Curacavi,VACUNA HEPATITIS B RN,HepB_RN,276
13503,13503,Curacavi,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,274
13503,13503,Curacavi,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,295
13503,13503,Curacavi,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,302
13503,13503,Curacavi,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,318
13503,13503,Curacavi,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,295
13503,13503,Curacavi,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,273
13503,13503,Curacavi,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,294
13503,13503,Curacavi,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,53
13503,13503,Curacavi,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,274
13503,13503,Curacavi,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,295
13503,13503,Curacavi,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,299
13503,13503,Curacavi,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,216
13503,13503,Curacavi,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,297
13503,13503,Curacavi,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,284
13503,13503,Curacavi,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,330
13503,13503,Curacavi,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,287
13503,13503,Curacavi,VACUNA VPH 4 BASICO,VPH_4basico,497
13503,13503,Curacavi,VACUNA VPH 5 BASICO,VPH_5basico,395
13504,13504,María Pinto,VACUNA BCG,BCG_RN,117
13504,13504,María Pinto,VACUNA DTPA 1 BASICO,dTpa_1basico,144
13504,13504,María Pinto,VACUNA DTPA 8 BASICO,dTpa_8basico,131
13504,13504,María Pinto,VACUNA DTPA GESTANTES,dTpa_Gestantes,115
13504,13504,María Pinto,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,186
13504,13504,María Pinto,VACUNA HEPATITIS B RN,HepB_RN,122
13504,13504,María Pinto,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,136
13504,13504,María Pinto,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,124
13504,13504,María Pinto,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,135
13504,13504,María Pinto,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,187
13504,13504,María Pinto,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,155
13504,13504,María Pinto,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,137
13504,13504,María Pinto,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,123
13504,13504,María Pinto,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,33
13504,13504,María Pinto,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,135
13504,13504,María Pinto,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,124
13504,13504,María Pinto,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,156
13504,13504,María Pinto,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,77
13504,13504,María Pinto,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,158
13504,13504,María Pinto,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,137
13504,13504,María Pinto,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,194
13504,13504,María Pinto,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,146
13504,13504,María Pinto,VACUNA VPH 4 BASICO,VPH_4basico,164
13504,13504,María Pinto,VACUNA VPH 5 BASICO,VPH_5basico,103
13505,13505,San Pedro,VACUNA BCG,BCG_RN,138
13505,13505,San Pedro,VACUNA DTPA 1 BASICO,dTpa_1basico,143
13505,13505,San Pedro,VACUNA DTPA 8 BASICO,dTpa_8basico,140
13505,13505,San Pedro,VACUNA DTPA GESTANTES,dTpa_Gestantes,117
13505,13505,San Pedro,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,165
13505,13505,San Pedro,VACUNA HEPATITIS B RN,HepB_RN,167
13505,13505,San Pedro,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,145
13505,13505,San Pedro,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,142
13505,13505,San Pedro,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,146
13505,13505,San Pedro,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,166
13505,13505,San Pedro,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,161
13505,13505,San Pedro,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,165
13505,13505,San Pedro,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,150
13505,13505,San Pedro,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,20
13505,13505,San Pedro,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,147
13505,13505,San Pedro,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,145
13505,13505,San Pedro,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,160
13505,13505,San Pedro,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,86
13505,13505,San Pedro,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,160
13505,13505,San Pedro,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,101
13505,13505,San Pedro,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,172
13505,13505,San Pedro,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,105
13505,13505,San Pedro,VACUNA VPH 4 BASICO,VPH_4basico,144
13505,13505,San Pedro,VACUNA VPH 5 BASICO,VPH_5basico,126
13601,13601,Talagante,VACUNA BCG,BCG_RN,651
13601,13601,Talagante,VACUNA DTPA 1 BASICO,dTpa_1basico,1037
13601,13601,Talagante,VACUNA DTPA 8 BASICO,dTpa_8basico,1290
13601,13605,Peñaflor,VACUNA DTPA 8 BASICO,dTpa_8basico,2
13601,13601,Talagante,VACUNA DTPA GESTANTES,dTpa_Gestantes,461
13601,13601,Talagante,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,705
13601,13601,Talagante,VACUNA HEPATITIS B RN,HepB_RN,649
13601,13601,Talagante,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,642
13601,13601,Talagante,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,652
13601,13601,Talagante,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,695
13601,13601,Talagante,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,714
13601,13601,Talagante,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,694
13601,13601,Talagante,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,639
13601,13601,Talagante,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,652
13601,13601,Talagante,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,124
13601,13601,Talagante,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,643
13601,13601,Talagante,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,655
13601,13601,Talagante,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,696
13601,13601,Talagante,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,380
13601,13601,Talagante,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,702
13601,13601,Talagante,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,613
13601,13601,Talagante,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,733
13601,13601,Talagante,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,640
13601,13601,Talagante,VACUNA VPH 4 BASICO,VPH_4basico,1216
13601,13601,Talagante,VACUNA VPH 5 BASICO,VPH_5basico,1017
13602,13602,El Monte,VACUNA BCG,BCG_RN,322
13602,13602,El Monte,VACUNA DTPA 1 BASICO,dTpa_1basico,393
13602,13602,El Monte,VACUNA DTPA 8 BASICO,dTpa_8basico,423
13602,13602,El Monte,VACUNA DTPA GESTANTES,dTpa_Gestantes,248
13602,13602,El Monte,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,293
13602,13602,El Monte,VACUNA HEPATITIS B RN,HepB_RN,326
13602,13602,El Monte,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,308
13602,13602,El Monte,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,298
13602,13602,El Monte,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,299
13602,13602,El Monte,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,307
13602,13602,El Monte,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,244
13602,13602,El Monte,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,307
13602,13602,El Monte,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,299
13602,13602,El Monte,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,38
13602,13602,El Monte,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,308
13602,13602,El Monte,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,298
13602,13602,El Monte,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,277
13602,13602,El Monte,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,281
13602,13602,El Monte,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,275
13602,13602,El Monte,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,269
13602,13602,El Monte,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,312
13602,13602,El Monte,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,277
13602,13602,El Monte,VACUNA VPH 4 BASICO,VPH_4basico,519
13602,13602,El Monte,VACUNA VPH 5 BASICO,VPH_5basico,427
13603,13603,Isla De Maipo,VACUNA BCG,BCG_RN,324
13603,13603,Isla De Maipo,VACUNA DTPA 1 BASICO,dTpa_1basico,416
13603,13603,Isla De Maipo,VACUNA DTPA 8 BASICO,dTpa_8basico,461
13603,13603,Isla De Maipo,VACUNA DTPA GESTANTES,dTpa_Gestantes,298
13603,13603,Isla De Maipo,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,389
13603,13603,Isla De Maipo,VACUNA HEPATITIS B RN,HepB_RN,321
13603,13603,Isla De Maipo,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,325
13603,13603,Isla De Maipo,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,338
13603,13603,Isla De Maipo,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,351
13603,13603,Isla De Maipo,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,391
13603,13603,Isla De Maipo,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,376
13603,13603,Isla De Maipo,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,334
13603,13603,Isla De Maipo,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,342
13603,13603,Isla De Maipo,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,66
13603,13603,Isla De Maipo,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,324
13603,13603,Isla De Maipo,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,338
13603,13603,Isla De Maipo,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,374
13603,13603,Isla De Maipo,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,242
13603,13603,Isla De Maipo,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,377
13603,13603,Isla De Maipo,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,357
13603,13603,Isla De Maipo,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,403
13603,13603,Isla De Maipo,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,371
13603,13603,Isla De Maipo,VACUNA VPH 4 BASICO,VPH_4basico,477
13603,13603,Isla De Maipo,VACUNA VPH 5 BASICO,VPH_5basico,413
13604,13604,Padre Hurtado,VACUNA BCG,BCG_RN,707
13604,13604,Padre Hurtado,VACUNA DTPA 1 BASICO,dTpa_1basico,980
13604,13604,Padre Hurtado,VACUNA DTPA 8 BASICO,dTpa_8basico,985
