COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13101,VACUNA BCG,BCG_RN,3777
13101,VACUNA DTPA 1 BASICO,dTpa_1basico,3827
13101,VACUNA DTPA 8 BASICO,dTpa_8basico,4718
13101,VACUNA DTPA GESTANTES,dTpa_Gestantes,3314
13101,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,3411
13101,VACUNA HEPATITIS B RN,HepB_RN,3803
13101,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,3773
13101,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,3598
13101,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3541
13101,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,3495
13101,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,3653
13101,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,3858
13101,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,3652
13101,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,615
13101,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,3781
13101,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,3617
13101,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,3587
13101,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1597
13101,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,3628
13101,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,2662
13101,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,3488
13101,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,2756
13101,VACUNA VPH 4 BASICO,VPH_4basico,4103
13101,VACUNA VPH 5 BASICO,VPH_5basico,3751
13102,VACUNA BCG,BCG_RN,568
13102,VACUNA DTPA 1 BASICO,dTpa_1basico,796
13102,VACUNA DTPA 8 BASICO,dTpa_8basico,760
13102,VACUNA DTPA GESTANTES,dTpa_Gestantes,603
13102,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,778
13102,VACUNA HEPATITIS B RN,HepB_RN,589
13102,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,707
13102,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,707
13102,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,696
13102,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,783
13102,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,734
13102,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,711
13102,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,708
13102,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,140
13102,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,707
13102,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,706
13102,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,733
13102,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,382
13102,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,735
13102,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,650
13102,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,779
13102,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,656
13102,VACUNA VPH 4 BASICO,VPH_4basico,814
13102,VACUNA VPH 5 BASICO,VPH_5basico,729
13103,VACUNA BCG,BCG_RN,1037
13103,VACUNA DTPA 1 BASICO,dTpa_1basico,1197
13103,VACUNA DTPA 8 BASICO,dTpa_8basico,1141
13103,VACUNA DTPA GESTANTES,dTpa_Gestantes,987
13103,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1218
13103,VACUNA HEPATITIS B RN,HepB_RN,1038
13103,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1133
13103,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1126
13103,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1136
13103,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1191
13103,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1146
13103,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1147
13103,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1131
13103,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,173
13103,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1136
13103,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1128
13103,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1175
13103,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,603
13103,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1184
13103,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,991
13103,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1212
13103,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,983
13103,VACUNA VPH 4 BASICO,VPH_4basico,1261
13103,VACUNA VPH 5 BASICO,VPH_5basico,1006
13104,VACUNA BCG,BCG_RN,785
13104,VACUNA DTPA 1 BASICO,dTpa_1basico,1308
13104,VACUNA DTPA 8 BASICO,dTpa_8basico,1282
13104,VACUNA DTPA GESTANTES,dTpa_Gestantes,818
13104,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1036
13104,VACUNA HEPATITIS B RN,HepB_RN,796
13104,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,883
13104,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,929
13104,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,901
13104,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1052
13104,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,985
13104,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,892
13104,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,925
13104,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,151
13104,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,884
13104,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,927
13104,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1021
13104,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,590
13104,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1029
13104,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,817
13104,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1043
13104,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,831
13104,VACUNA VPH 4 BASICO,VPH_4basico,1445
13104,VACUNA VPH 5 BASICO,VPH_5basico,1199
13105,VACUNA BCG,BCG_RN,1024
13105,VACUNA DTPA 1 BASICO,dTpa_1basico,1921
13105,VACUNA DTPA 8 BASICO,dTpa_8basico,1862
13105,VACUNA DTPA GESTANTES,dTpa_Gestantes,1217
13105,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1574
13105,VACUNA HEPATITIS B RN,HepB_RN,1054
13105,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1277
13105,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1293
13105,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1353
13105,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1570
13105,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1449
13105,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1290
13105,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1297
13105,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,231
13105,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1278
13105,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1296
13105,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1437
13105,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1477
13105,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1442
13105,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1385
13105,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1573
13105,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1404
13105,VACUNA VPH 4 BASICO,VPH_4basico,2058
