COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13103,VACUNA VPH 4 BASICO,VPH_4basico,1261
13103,VACUNA VPH 5 BASICO,VPH_5basico,1006
13104,VACUNA BCG,BCG_RN,877
13104,VACUNA DTPA 1 BASICO,dTpa_1basico,1308
13104,VACUNA DTPA 8 BASICO,dTpa_8basico,1283
13104,VACUNA DTPA GESTANTES,dTpa_Gestantes,819
13104,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1036
13104,VACUNA HEPATITIS B RN,HepB_RN,890
13104,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,883
13104,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,929
13104,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,901
13104,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1053
13104,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,986
13104,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,892
13104,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,925
13104,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,151
13104,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,884
13104,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,927
13104,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1021
13104,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,618
13104,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1029
13104,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,817
13104,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1049
13104,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,836
13104,VACUNA VPH 4 BASICO,VPH_4basico,1445
13104,VACUNA VPH 5 BASICO,VPH_5basico,1199
13105,VACUNA BCG,BCG_RN,1141
13105,VACUNA DTPA 1 BASICO,dTpa_1basico,1924
13105,VACUNA DTPA 8 BASICO,dTpa_8basico,1869
13105,VACUNA DTPA GESTANTES,dTpa_Gestantes,1220
13105,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1574
13105,VACUNA HEPATITIS B RN,HepB_RN,1176
13105,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1277
13105,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1295
13105,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1355
13105,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1571
13105,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1449
13105,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1290
13105,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1299
13105,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,231
13105,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1278
13105,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1299
13105,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1438
13105,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1606
13105,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1442
13105,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1385
13105,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1574
13105,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1404
13105,VACUNA VPH 4 BASICO,VPH_4basico,2059
13105,VACUNA VPH 5 BASICO,VPH_5basico,1602
13106,VACUNA BCG,BCG_RN,1307
13106,VACUNA DTPA 1 BASICO,dTpa_1basico,1420
13106,VACUNA DTPA 8 BASICO,dTpa_8basico,1357
13106,VACUNA DTPA GESTANTES,dTpa_Gestantes,1274
13106,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1466
13106,VACUNA HEPATITIS B RN,HepB_RN,1311
13106,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1400
13106,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1433
