COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13101,VACUNA BCG,BCG_RN,3789
13101,VACUNA DTPA 1 BASICO,dTpa_1basico,3850
13101,VACUNA DTPA 8 BASICO,dTpa_8basico,4887
13101,VACUNA DTPA GESTANTES,dTpa_Gestantes,3109
13101,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,3427
13101,VACUNA HEPATITIS B RN,HepB_RN,3815
13101,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,3773
13101,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,3601
13101,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3549
13101,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,3512
13101,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,3676
13101,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,3868
13101,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,3665
13101,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,621
13101,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,3780
13101,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,3621
13101,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,3598
13101,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1861
13101,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,3638
13101,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,2690
13101,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,3514
13101,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,2794
13101,VACUNA VPH 4 BASICO,VPH_4basico,4262
13101,VACUNA VPH 5 BASICO,VPH_5basico,4248
13102,VACUNA BCG,BCG_RN,569
13102,VACUNA DTPA 1 BASICO,dTpa_1basico,797
13102,VACUNA DTPA 8 BASICO,dTpa_8basico,796
13102,VACUNA DTPA GESTANTES,dTpa_Gestantes,565
13102,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,780
13102,VACUNA HEPATITIS B RN,HepB_RN,590
13102,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,707
13102,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,707
13102,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,699
13102,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,785
13102,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,735
13102,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,713
13102,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,710
13102,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,140
13102,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,708
13102,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,707
13102,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,734
13102,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,432
13102,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,737
13102,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,658
13102,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,785
13102,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,664
13102,VACUNA VPH 4 BASICO,VPH_4basico,844
13102,VACUNA VPH 5 BASICO,VPH_5basico,835
13103,VACUNA BCG,BCG_RN,1039
13103,VACUNA DTPA 1 BASICO,dTpa_1basico,1211
13103,VACUNA DTPA 8 BASICO,dTpa_8basico,1201
13103,VACUNA DTPA GESTANTES,dTpa_Gestantes,928
13103,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1230
13103,VACUNA HEPATITIS B RN,HepB_RN,1040
13103,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1134
13103,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1127
13103,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1137
13103,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1202
13103,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1148
13103,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1148
13103,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1135
13103,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,175
13103,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1137
13103,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1128
13103,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1177
13103,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,656
13103,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1187
13103,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1003
13103,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1227
13103,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,993
13103,VACUNA VPH 4 BASICO,VPH_4basico,1280
13103,VACUNA VPH 5 BASICO,VPH_5basico,1203
