COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13105,El Bosque,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1802
13105,El Bosque,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1692
13105,El Bosque,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1580
13106,Estación Central,VACUNA BCG,BCG_HepB_RN,1305
13106,Estación Central,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1731
13106,Estación Central,VACUNA HEPATITIS B RN,BCG_HepB_RN,1163
13106,Estación Central,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1473
13106,Estación Central,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1768
13106,Estación Central,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1537
13106,Estación Central,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1196
13106,Estación Central,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1652
13106,Estación Central,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1256
13106,Estación Central,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1764
13106,Estación Central,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1430
13107,Huechuraba,VACUNA BCG,BCG_HepB_RN,822
13107,Huechuraba,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,895
13107,Huechuraba,VACUNA HEPATITIS B RN,BCG_HepB_RN,808
13107,Huechuraba,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,816
13107,Huechuraba,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,905
13107,Huechuraba,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,899
13107,Huechuraba,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,829
13107,Huechuraba,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,896
13107,Huechuraba,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,804
13107,Huechuraba,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1025
13107,Huechuraba,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,908
13108,Independencia,VACUNA BCG,BCG_HepB_RN,1121
13108,Independencia,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1446
13108,Independencia,VACUNA HEPATITIS B RN,BCG_HepB_RN,1102
13108,Independencia,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1137
13108,Independencia,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1738
13108,Independencia,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1274
13108,Independencia,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1871
13108,Independencia,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1302
13108,Independencia,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1357
13108,Independencia,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1409
13108,Independencia,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1311
13109,La Cisterna,VACUNA BCG,BCG_HepB_RN,794
13109,La Cisterna,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,895
13109,La Cisterna,VACUNA HEPATITIS B RN,BCG_HepB_RN,788
13109,La Cisterna,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,812
13109,La Cisterna,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,989
13109,La Cisterna,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,842
13109,La Cisterna,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1437
13109,La Cisterna,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1606
13109,La Cisterna,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1473
13109,La Cisterna,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,887
13109,La Cisterna,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,910
13110,La Florida,VACUNA BCG,BCG_HepB_RN,3159
13110,La Florida,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,3660
13110,La Florida,VACUNA HEPATITIS B RN,BCG_HepB_RN,2997
13110,La Florida,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3557
13110,La Florida,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,3795
13110,La Florida,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,3648
13110,La Florida,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,9372
13110,La Florida,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,3752
13110,La Florida,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3481
13110,La Florida,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,3779
13110,La Florida,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3206
13111,La Granja,VACUNA BCG,BCG_HepB_RN,803
13111,La Granja,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1171
13111,La Granja,VACUNA HEPATITIS B RN,BCG_HepB_RN,782
13111,La Granja,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1018
13111,La Granja,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1103
13111,La Granja,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1027
