COD_COMUNA_JOIN,COMUNA_CALCULO,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS,POBLACION_OBJETIVO,PORC_COBERTURA
13501,Melipilla,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1472,1564.0,94.1
13501,Melipilla,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1436,1424.0,100.8
13501,Melipilla,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1432,1456.0,98.4
13501,Melipilla,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,200,1696.0,11.8
13501,Melipilla,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1382,1424.0,97.1
13501,Melipilla,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1411,1456.0,96.9
13501,Melipilla,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1459,1564.0,93.3
13501,Melipilla,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,682,1471.0,46.4
13501,Melipilla,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1469,1564.0,93.9
13501,Melipilla,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1209,1638.0,73.8
13501,Melipilla,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1513,1696.0,89.2
13501,Melipilla,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1218,1638.0,74.4
13501,Melipilla,VACUNA VPH 4 BASICO,VPH_4basico,1781,2089.0,85.3
13501,Melipilla,VACUNA VPH 5 BASICO,VPH_5basico,1201,1993.0,60.3
13502,Alhué,VACUNA BCG,BCG_RN,65,98.0,66.3
13502,Alhué,VACUNA DTPA 1 BASICO,dTpa_1basico,111,119.0,93.3
13502,Alhué,VACUNA DTPA 8 BASICO,dTpa_8basico,103,119.0,86.6
13502,Alhué,VACUNA DTPA GESTANTES,dTpa_Gestantes,77,121.0,63.6
13502,Alhué,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,120,127.0,94.5
13502,Alhué,VACUNA HEPATITIS B RN,HepB_RN,63,98.0,64.3
13502,Alhué,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,90,96.0,93.8
13502,Alhué,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,89,98.0,90.8
13502,Alhué,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,105,102.0,102.9
13502,Alhué,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,120,127.0,94.5
13502,Alhué,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,118,111.0,106.3
13502,Alhué,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,95,96.0,99.0
13502,Alhué,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,94,98.0,95.9
13502,Alhué,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,21,127.0,16.5
13502,Alhué,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,90,96.0,93.8
13502,Alhué,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,89,98.0,90.8
13502,Alhué,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,117,111.0,105.4
13502,Alhué,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,70,85.0,82.4
13502,Alhué,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,116,111.0,104.5
13502,Alhué,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,109,116.0,94.0
13502,Alhué,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,120,127.0,94.5
13502,Alhué,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,106,116.0,91.4
13502,Alhué,VACUNA VPH 4 BASICO,VPH_4basico,124,129.0,96.1
13502,Alhué,VACUNA VPH 5 BASICO,VPH_5basico,103,124.0,83.1
13503,Curacaví,VACUNA BCG,BCG_RN,272,281.0,96.8
13503,Curacaví,VACUNA DTPA 1 BASICO,dTpa_1basico,428,476.0,89.9
13503,Curacaví,VACUNA DTPA 8 BASICO,dTpa_8basico,499,561.0,88.9
13503,Curacaví,VACUNA DTPA GESTANTES,dTpa_Gestantes,226,369.0,61.2
13503,Curacaví,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,318,345.0,92.2
13503,Curacaví,VACUNA HEPATITIS B RN,HepB_RN,273,281.0,97.2
13503,Curacaví,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,274,275.0,99.6
13503,Curacaví,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,295,304.0,97.0
13503,Curacaví,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,302,303.0,99.7
13503,Curacaví,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,318,345.0,92.2
13503,Curacaví,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,295,316.0,93.4
13503,Curacaví,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,273,275.0,99.3
13503,Curacaví,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,294,304.0,96.7
13503,Curacaví,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,53,345.0,15.4
13503,Curacaví,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,274,275.0,99.6
